Name of Module,Name,Day,Start Time,End Time,Weeks,course_code,fixed_event
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/04,Tue,09:00:00,10:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/05,Tue,16:00:00,17:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/06,Tue,17:00:00,18:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/07,Tue,09:00:00,10:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/08,Tue,17:00:00,18:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/09,Tue,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/10,Tue,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/11,Tue,14:00:00,15:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/12,Tue,12:00:00,13:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/14,Wed,13:00:00,14:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/15,Wed,12:00:00,13:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/16,Wed,11:00:00,12:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/17,Wed,15:00:00,16:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Lecture,Mon,15:00:00,16:00:00,"Sem1 wk1, Sem1 wk3-Sem1 wk6, Sem1 wk8-Sem1 wk11",INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Lecture,Wed,09:00:00,10:00:00,"Sem1 wk1-Sem1 wk6, Sem1 wk8-Sem1 wk11",INFR08030,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture <11-13>,Thu,10:00:00,11:00:00,Sem1 wk3-Sem1 wk5,INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture <09>,Thu,10:00:00,11:00:00,Sem1 wk1,INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture <10>,Thu,10:00:00,11:00:00,Sem1 wk2,INFR08026,True
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Lecture,Tue,10:00:00,11:00:00,Sem1 wk1-Sem1 wk10,INFR08026,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <13>,Tue,15:00:00,16:00:00,Sem1 wk5,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <15-16>,Tue,15:00:00,16:00:00,Sem1 wk7-Sem1 wk8,INFR08027,False
Informatics 2C - Introduction to Computer Systems,"Informatics 2C - Introduction to Computer Systems - Lecture <09-10, 12, 14, 17-19>",Tue,15:00:00,16:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4, Sem1 wk6, Sem1 wk9-Sem1 wk11",INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <11>,Tue,15:00:00,16:00:00,Sem1 wk3,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <17>,Thu,15:00:00,16:00:00,Sem1 wk9,INFR08027,False
Informatics 2C - Introduction to Computer Systems,"Informatics 2C - Introduction to Computer Systems - Lecture <09-10, 12>",Thu,15:00:00,16:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4",INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <18-19>,Thu,15:00:00,16:00:00,Sem1 wk10-Sem1 wk11,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <16>,Thu,15:00:00,16:00:00,Sem1 wk8,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <14>,Thu,15:00:00,16:00:00,Sem1 wk6,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <13>,Thu,15:00:00,16:00:00,Sem1 wk5,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <11>,Thu,15:00:00,16:00:00,Sem1 wk3,INFR08027,False
Informatics 2C - Introduction to Computer Systems,Informatics 2C - Introduction to Computer Systems - Lecture <15>,Thu,15:00:00,16:00:00,Sem1 wk7,INFR08027,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab (KB)/11,Mon,15:00:00,16:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab (KB)/12,Mon,16:00:00,17:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture,Mon,11:00:00,12:00:00,Sem1 wk1-Sem1 wk10,INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <15>,Thu,11:00:00,12:00:00,Sem1 wk7,INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <16-18>,Thu,11:00:00,12:00:00,Sem1 wk8-Sem1 wk10,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <10, 12>",Thu,11:00:00,12:00:00,"Sem1 wk2, Sem1 wk4",INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <11, 13>",Thu,11:00:00,12:00:00,"Sem1 wk3, Sem1 wk5",INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <09>,Thu,11:00:00,12:00:00,Sem1 wk1,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture (G.07, Informatics Forum)",Thu,11:00:00,12:00:00,Sem1 wk6,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture (G.07, Informatics Forum)",Tue,11:00:00,12:00:00,"Sem1 wk7, Sem1 wk10",INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <11>,Tue,11:00:00,12:00:00,Sem1 wk3,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <13-14, 16>",Tue,11:00:00,12:00:00,"Sem1 wk5-Sem1 wk6, Sem1 wk8",INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <09-10, 12>",Tue,11:00:00,12:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4",INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <17>,Tue,11:00:00,12:00:00,Sem1 wk9,INFR11125,False
Informatics Large Practical,Informatics Large Practical - Q&A Session <11>,Fri,16:00:00,17:00:00,Sem1 wk3,INFR09051,False
Informatics Large Practical,"Informatics Large Practical - Q&A Session <14, 17>",Fri,16:00:00,17:00:00,"Sem1 wk6, Sem1 wk9",INFR09051,False
Professional Issues (Level 10),Professional Issues (Level 10) - Q&A Session,Mon,13:00:00,14:00:00,Sem1 wk1-Sem1 wk11,INFR10022,False
Professional Issues (Level 10),Professional Issues (Level 10) - Q&A Session,Fri,13:00:00,14:00:00,Sem1 wk1-Sem1 wk11,INFR10022,False
Informatics 1 - Introduction to Computation,"Informatics 1 - Intro to Computation - Lecture (Live - 1.14 Oak, Streamed - Sanderson Building LT)",Fri,14:00:00,15:00:00,Sem1 wk1,INFR08025,False
Informatics 1 - Introduction to Computation,"Informatics 1 - Intro to Computation - Lecture (Live - 1.14 Oak, Streamed - Joesph Black Building LT 250)",Fri,14:00:00,15:00:00,Sem1 wk2-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,"Informatics 1 - Intro to Computation - Lecture (Live - 1.14 Oak, Streamed - G.02 Elm)",Mon,14:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,"Informatics 1 - Intro to Computation - Lecture (Live - 1.14 Oak, Streamed - Swan, Main LT)",Thu,11:00:00,12:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,"Informatics 1 - Intro to Computation - Lecture (Live - 1.14 Oak, Streamed - 1.15 Larch)",Tue,14:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR08025,False
Ad-Hoc Bookings - Informatics,Programming Club,Wed,15:00:00,17:00:00,Sem1 wk1-Sem1 wk11,INFADHOC,False
Case Studies in Design Informatics 2,Case Studies in Design Informatics 2 - Lecture,Mon,14:00:00,15:00:00,Sem1 wk1-Sem1 wk10,INFR11095,False
Case Studies in Design Informatics 2,Case Studies in Design Informatics 2 - Lecture (wed),Wed,14:00:00,15:00:00,Sem1 wk1-Sem1 wk10,INFR11095,False
Case Studies in Design Informatics 2,Case Studies in Design Informatics 2 - Lecture,Thu,15:00:00,16:00:00,Sem1 wk1-Sem1 wk10,INFR11095,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/01,Mon,16:00:00,17:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/02,Mon,17:00:00,18:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/03,Tue,16:00:00,17:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/04,Tue,17:00:00,18:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/05,Wed,16:00:00,17:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/06,Wed,17:00:00,18:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/07,Thu,16:00:00,17:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/08,Thu,17:00:00,18:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/09,Fri,16:00:00,17:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Informatics 1 - Introduction to Computation,Informatics 1 - Introduction to Computation - Drop in Lab/10,Fri,17:00:00,18:00:00,Welcome wk1-Sem1 wk11,INFR08025,False
Discrete Mathematics and Probability,Discrete Mathematics and Probability - Tutorial/02,Tue,17:00:00,18:00:00,"Sem1 wk2-Sem1 wk5, Sem1 wk7-Sem1 wk10",INFR08031,False
Discrete Mathematics and Probability,Discrete Mathematics and Probability - Tutorial/07,Thu,13:00:00,14:00:00,"Sem1 wk2-Sem1 wk5, Sem1 wk7-Sem1 wk10",INFR08031,False
Informatics Large Practical,Informatics Large Practical - Tutorial/01,Tue,11:00:00,12:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9",INFR09051,False
Informatics Large Practical,Informatics Large Practical - Tutorial/03,Tue,13:00:00,14:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9",INFR09051,False
Informatics Large Practical,Informatics Large Practical - Tutorial/05,Thu,11:00:00,12:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9",INFR09051,False
Informatics Large Practical,Informatics Large Practical - Tutorial/07,Thu,13:00:00,14:00:00,"Sem1 wk3, Sem1 wk5, Sem1 wk7, Sem1 wk9",INFR09051,False
Introduction to Mobile Robotics,Introduction to Mobile Robotics - Tutorial/01,Wed,09:00:00,10:00:00,Sem1 wk5,INFR10085,False
Introduction to Mobile Robotics,Introduction to Mobile Robotics - Tutorial/02,Wed,10:00:00,11:00:00,Sem1 wk5,INFR10085,False
Introduction to Mobile Robotics,Introduction to Mobile Robotics - Tutorial/03,Wed,14:00:00,15:00:00,Sem1 wk5,INFR10085,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Drop in Lab/01,Thu,11:00:00,13:00:00,Sem1 wk1-Sem1 wk11,INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Drop in Lab/02,Fri,12:00:00,14:00:00,Sem1 wk1-Sem1 wk6,INFR08030,False
Informatics 2 - Foundations of Data Science,Informatics 2 - Foundations of Data Science - Drop in Lab/03,Wed,14:00:00,16:00:00,Sem1 wk1-Sem1 wk7,INFR08030,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Tutorial/18,Mon,12:00:00,13:00:00,"Sem1 wk3-Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Drop in Lab/01,Mon,11:00:00,12:00:00,"Sem1 wk2, Sem1 wk4, Sem1 wk6-Sem1 wk8",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Drop in Lab/02,Mon,16:00:00,17:00:00,"Sem1 wk2, Sem1 wk4, Sem1 wk6-Sem1 wk8",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Drop in Lab/03,Wed,11:00:00,12:00:00,"Sem1 wk2, Sem1 wk4, Sem1 wk6-Sem1 wk8",INFR08026,False
Informatics 2 - Introduction to Algorithms and Data Structures,Informatics 2 - Intro to Algorithms & Data Structures - Drop in Lab/04,Wed,16:00:00,17:00:00,"Sem1 wk2, Sem1 wk4, Sem1 wk6-Sem1 wk8",INFR08026,False
Advanced Robotics,Advanced Robotics - Lecture,Mon,13:00:00,15:00:00,Sem1 wk1-Sem1 wk10,INFR11213,False
Advanced Robotics,Advanced Robotics - Lecture,Tue,10:00:00,11:00:00,Sem1 wk1-Sem1 wk10,INFR11213,False
Bioinformatics 1,Bioinformatics 1 - Lecture,Fri,10:00:00,11:00:00,Sem1 wk1-Sem1 wk11,INFR11160,False
Computational Neuroscience,Computational Neuroscience - Lecture,Fri,15:00:00,16:00:00,Sem1 wk1-Sem1 wk11,INFR11209,False
Computational Neuroscience,Computational Neuroscience - Lecture,Tue,15:00:00,16:00:00,Sem1 wk1-Sem1 wk11,INFR11209,False
Computer Graphics: Rendering,Computer Graphics: Rendering - Lecture,Thu,13:00:00,14:00:00,Sem1 wk1-Sem1 wk10,INFR11246,False
Computer Graphics: Rendering,Computer Graphics: Rendering - Lecture,Mon,16:00:00,17:00:00,Sem1 wk1-Sem1 wk10,INFR11246,False
Extreme Computing,Extreme Computing - Lecture,Fri,13:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR11088,False
Formal Verification,Formal Verification - Drop in Lab,Fri,11:00:00,13:00:00,Sem1 wk3-Sem1 wk10,INFR11129,False
Formal Verification,Formal Verification - Lecture,Mon,15:00:00,16:00:00,Sem1 wk1-Sem1 wk11,INFR11129,False
Formal Verification,Formal Verification - Lecture,Thu,15:00:00,16:00:00,Sem1 wk1-Sem1 wk11,INFR11129,False
Human-Computer Interaction (Level 11),Human-Computer Interaction (Level 11) - Q&A Session,Tue,12:00:00,13:00:00,Sem1 wk1-Sem1 wk11,INFR11017,False
Knowledge Graphs,Knowledge Graphs - Lecture,Fri,10:00:00,11:00:00,Sem1 wk1-Sem1 wk10,INFR11215,False
Knowledge Graphs,Knowledge Graphs - Lecture,Tue,15:00:00,16:00:00,Sem1 wk1-Sem1 wk10,INFR11215,False
Modelling of Systems for Sustainability,Modelling of Systems for Sustainablilty - Lecture,Mon,14:00:00,15:00:00,Sem1 wk1-Sem1 wk6,INFR10088,False
Modelling of Systems for Sustainability,Modelling of Systems for Sustainablilty - Lecture,Wed,14:00:00,15:00:00,Sem1 wk1-Sem1 wk6,INFR10088,False
Modelling of Systems for Sustainability,Modelling of Systems for Sustainablilty - Q&A,Fri,11:00:00,12:00:00,"Sem1 wk1-Sem1 wk6, Sem1 wk9-Sem1 wk10",INFR10088,False
Randomized Algorithms,Randomized Algorithms - Lecture,Mon,14:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR11201,False
Randomized Algorithms,Randomized Algorithms - Lecture,Wed,14:00:00,15:00:00,Sem1 wk1-Sem1 wk11,INFR11201,False
Secure Programming,Secure Programming - Lecture,Thu,14:00:00,15:00:00,"Sem1 wk1, Sem1 wk3-Sem1 wk10",INFR11098,False
Secure Programming,Secure Programming - Lecture,Tue,14:00:00,15:00:00,"Sem1 wk1, Sem1 wk3-Sem1 wk10",INFR11098,False
Types and Semantics for Programming Languages,Types and Semantics for Programming Languages - Lecture,Mon,12:00:00,14:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4-Sem1 wk11",INFR11114,False
Types and Semantics for Programming Languages,"Types and Semantics for Programming Languages - Lecture <09-10, 12-15, 17-19>",Wed,12:00:00,14:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4-Sem1 wk7, Sem1 wk9-Sem1 wk11",INFR11114,False
Types and Semantics for Programming Languages,Types and Semantics for Programming Languages - Lecture <16>,Wed,12:00:00,14:00:00,Sem1 wk8,INFR11114,False
Applied Machine Learning,Applied Machine Learning - Q&A Session <11>,Mon,15:00:00,16:00:00,Sem1 wk3,INFR11211,False
Applied Machine Learning,"Applied Machine Learning - Q&A Session <10, 12-18>",Tue,16:00:00,17:00:00,"Sem1 wk2, Sem1 wk4-Sem1 wk10",INFR11211,False
Applied Machine Learning,Applied Machine Learning - Q&A Session <09>,Tue,17:00:00,18:00:00,Sem1 wk1,INFR11211,False
Case Studies in Design Informatics 1,Case Studies in Design Informatics 1 - Lecture,Mon,15:00:00,17:00:00,Sem1 wk1-Sem1 wk11,INFR11094,False
Doing Research in Natural Language Processing,Doing Research in Natural Language Processing - Lecture,Fri,16:00:00,17:00:00,Sem1 wk1-Sem1 wk10,INFR11194,False
